,year,period,county,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2011-01-01,2011.0,1.0,hardin,104.0,104.0,1204.0,1191.0,18639521.0,1130.0,1211.0,1271.0
2011-01-01,2011.0,1.0,harris,6567.0,6141.0,133894.0,1086.0,1889477989.0,131893.0,134564.0,135224.0
2011-04-01,2011.0,2.0,hardin,102.0,102.0,1086.0,972.0,13724503.0,1158.0,1042.0,1057.0
2011-04-01,2011.0,2.0,orange,125.0,122.0,1563.0,972.0,19763228.0,1565.0,1561.0,1564.0
2011-04-01,2011.0,2.0,jefferson,456.0,445.0,16167.0,1076.0,226224624.0,15669.0,16311.0,16522.0
2011-04-01,2011.0,2.0,harris,6529.0,6105.0,135033.0,1085.0,1904202394.0,134792.0,134416.0,135891.0
2011-07-01,2011.0,3.0,hardin,102.0,102.0,1096.0,1016.0,14471971.0,1059.0,1063.0,1165.0
2011-07-01,2011.0,3.0,harris,6513.0,6101.0,137678.0,1129.0,2020203718.0,136883.0,137661.0,138491.0
2011-07-01,2011.0,3.0,orange,125.0,122.0,1743.0,938.0,21256475.0,1738.0,1737.0,1755.0
2011-07-01,2011.0,3.0,jefferson,460.0,449.0,17305.0,1163.0,261528285.0,16996.0,17419.0,17501.0
2011-10-01,2011.0,4.0,hardin,98.0,98.0,1119.0,1127.0,16401610.0,1155.0,1092.0,1111.0
2011-10-01,2011.0,4.0,jefferson,454.0,442.0,17598.0,1212.0,277161618.0,17609.0,17780.0,17405.0
2011-10-01,2011.0,4.0,orange,121.0,118.0,1762.0,983.0,22525746.0,1790.0,1749.0,1748.0
2011-10-01,2011.0,4.0,harris,6527.0,6113.0,139076.0,1225.0,2214229260.0,139650.0,139296.0,138283.0
2012-01-01,2012.0,1.0,jefferson,465.0,447.0,17194.0,1207.0,269694486.0,17559.0,17144.0,16878.0
2012-01-01,2012.0,1.0,harris,6519.0,6128.0,139827.0,1193.0,2168796962.0,137253.0,140033.0,142196.0
2012-01-01,2012.0,1.0,orange,121.0,115.0,1796.0,912.0,21291820.0,1712.0,1811.0,1865.0
2012-01-01,2012.0,1.0,hardin,99.0,99.0,1251.0,1166.0,18968575.0,1135.0,1259.0,1359.0
2012-04-01,2012.0,2.0,orange,120.0,114.0,1819.0,992.0,23459048.0,1884.0,1808.0,1765.0
2012-04-01,2012.0,2.0,harris,6505.0,6114.0,142851.0,1135.0,2108591163.0,141582.0,143286.0,143685.0
2012-04-01,2012.0,2.0,hardin,101.0,100.0,1220.0,1091.0,17298397.0,1350.0,1216.0,1093.0
2012-04-01,2012.0,2.0,jefferson,458.0,440.0,16623.0,1145.0,247520591.0,16858.0,16853.0,16157.0
2012-07-01,2012.0,3.0,harris,6496.0,6116.0,144338.0,1134.0,2127762769.0,141883.0,145311.0,145820.0
2012-07-01,2012.0,3.0,hardin,98.0,97.0,1066.0,998.0,13821544.0,1066.0,1087.0,1044.0
2012-07-01,2012.0,3.0,orange,122.0,116.0,1848.0,951.0,22853372.0,1864.0,1840.0,1841.0
2012-07-01,2012.0,3.0,jefferson,456.0,434.0,15265.0,1186.0,235401139.0,15216.0,15455.0,15123.0
